0,1
"В болтливости скрывается ложь, а ложь, как известно, есть мать всех пороков.","В Минкомсвязи разработали законопроект, который дает Генпрокуратуре новые основания блокировать информацию в интернете без суда. Сейчас для досудебной блокировки сайта нужно, чтобы на его страницах были прямые призывы к экстремистской деятельности или, например, к массовым беспорядкам."
"В деле распространения здравых мыслей не обойтись, чтобы кто-нибудь паскудой не назвал."," Ксения Собчак о ситуации с выборами и радикализации столичных протестов:«Власть пошла по следующей логике: очень жестко подавлять любые несогласованные действия и максимально разрешать согласованные. Дальше мы понимаем, что согласованные акции меньше нужны радикальной оппозиции, потому что они не привлекают столько внимания». "
"В словах «ни в чем не замечен» уже заключается целая репутация, которая никак не позволит человеку бесследно погрузиться в пучину абсолютной безвестности.","Суд арестовал на десять суток Константина Янкаускаса, которого выпустили 3 августа после семи суток административного ареста"
"В словах «ни в чем не замечен» уже заключается целая репутация, которая никак не позволит человеку бесследно погрузиться в пучину абсолютной безвестности.","Если законопроект будет принят, то блокировать начнут за «оправдание экстремизма  и терроризма» — и с этими определениями все немного сложнее. "
"В словах «ни в чем не замечен» уже заключается целая репутация, которая никак не позволит человеку бесследно погрузиться в пучину абсолютной безвестности.","Активистам движения «Архнадзор» удалось остановить снос комплекса зданий XIX века на Садовнической улице в Москве. Теперь им стали поступать угрозы — активисты сорвали крупный инвестпроект и испортили репутацию строительной компании, поэтому «каждый из них ответит». "
"В словах «ни в чем не замечен» уже заключается целая репутация, которая никак не позволит человеку бесследно погрузиться в пучину абсолютной безвестности.","""Девочки, квартиру Голунова ГУ МВД Москвы будут (https://t.me/NoodleRemoverPlus/1722) вспоминать каждый раз, когда они будут публиковать официальную версию любых противоречивых событий. Именно это и называется таким важным словом: """"репутация"""""
"В: А ты бы какую национальную идею предложил?– Очень простую: «У нас нет лишних людей». Все нужны, все востребованы, всем найдем дело. А то мы вечно живем по принципу: сейчас будет счастье, но не для всех, а вот только для этих. Классово своих, национально близких, идейно выдержанных... А с остальными – по списку – можете делать что хотите","Суд арестовал на два месяца Павла Устинова, которого обвиняют в применении насилия к представителю власти. На акции 3 августа он якобы вывихнул плечо бойцу Росгвардии, когда тот пытался его задержать "
"В: А ты бы какую национальную идею предложил?– Очень простую: «У нас нет лишних людей». Все нужны, все востребованы, всем найдем дело. А то мы вечно живем по принципу: сейчас будет счастье, но не для всех, а вот только для этих. Классово своих, национально близких, идейно выдержанных... А с остальными – по списку – можете делать что хотите","«Когда люди в субботу пошли к администрации президента, их там уже ждали. Если защищают эту точку, значит, боятся именно революции. Но зря боятся, люди не собираются предпринимать каких-либо насильственных действий»"
"В: А ты бы какую национальную идею предложил?– Очень простую: «У нас нет лишних людей». Все нужны, все востребованы, всем найдем дело. А то мы вечно живем по принципу: сейчас будет счастье, но не для всех, а вот только для этих. Классово своих, национально близких, идейно выдержанных... А с остальными – по списку – можете делать что хотите","Тот, кого Телеканал Дождь называет идеальным кандидатом, есть на самом деле кандидат минимально приемлемый, базово безопасный. Кроме, так сказать, отрицательных добродетелей: не помешан, не плюется едой, социально адаптирован, читает бегло - много чего другого нужно для успешной публичной управленческой деятельности. Но мы начинаем, как всегда, с азбуки, с мама-мыла-раму. Многие ведь и того не освоили."
"В: А ты бы какую национальную идею предложил?– Очень простую: «У нас нет лишних людей». Все нужны, все востребованы, всем найдем дело. А то мы вечно живем по принципу: сейчас будет счастье, но не для всех, а вот только для этих. Классово своих, национально близких, идейно выдержанных... А с остальными – по списку – можете делать что хотите","20-летняя девушка сбежала из дома и пришла в женский кризисный центр в Москве из-за того, что отец угрожал насильно выдать ее замуж. Через несколько дней она пропала из центра. В итоге родственники вывезли ее в Чечню. В аэропорту Внуково волонтеры пытались поговорить с девушкой, но ее родители не дали этого сделать. Полицейские сказали, что у них нет оснований задерживать этих пассажиров"
"Во всех странах железные дороги для передвижения служат, а у нас сверх того и для воровства.",Суд арестовал на два месяца Владислава Барабанова — еще одного фигуранта дела о «массовых беспорядках»
"Во всех странах железные дороги для передвижения служат, а у нас сверх того и для воровства.","Самарские коммунальщики установили трехтонную бетонную пирамиду перед домом человека, который накопил долг в 45 тысяч. Должник ее разбил и вывез на погрузчике. И ему поставили новую! Возбуждено дело"
"Во всех странах железные дороги для передвижения служат, а у нас сверх того и для воровства.","РЖД отменило остановку на станции Шиес в Архангельской области, там местные жители протестуют против строительства мусорного полигона. Об этом нам рассказали в пресс-службе РЖД. Теперь остановка «будет носить технический характер», билеты туда не продаются"
Всякому безобразию свое приличие.,Сотрудника Фонда борьбы с коррупцией Георгия Албурова арестовали на десять суток
Всякому безобразию свое приличие.,"«Вот этот автозак, вот эта неоправданная жестокость — это и есть первый государственный экзамен, которое государство проваливает перед школьниками. А не наоборот», — заметил Бунимович."
Всякому безобразию свое приличие.,"«Повар путина» Евгений Пригожин пытается обелить репутацию своего поставщика питания с помощью неофициальных компенсаций пострадавшим. При этом он отказывается признавать, что именно его фирмы виновны в заражении детей дизентерией в детских садах и школах юго-востока Москвы."
Всякому безобразию свое приличие.,"Павел Лобков поговорил с Геннадием Зюгановым на проспекте Сахарова:  — Как вы относитесь к задержаниям? — Задержаниями ничего не решить, но учите ребят как следует подавать заявки на митинги. — А как работала полиция? — Ну не то чтобы они превысили полномочия, к тому же всех выпустили из отделов полиции. — Вы в Госдуме вызовете министра внутренних дел Владимира Колокольцева? — Дело не в Колокольцеве, он грамотный человек. Дело в тех, кто вызывал молодежь на митинги. — Кто эти люди, которые натравливают молодежь? — Вы их лучше меня знаете."
"Глупым, в грубом значении этого слова, Струнникова назвать было нельзя, но и умен он был лишь настолько, чтобы, как говорится, сальных свечей не есть и стеклом не утираться.","Следственный комитет объявил в розыск Сергея Фомина — волонтера Соболь, который стал еще одним фигурантом дела о массовых беспорядках 27 июля"
"Глупым, в грубом значении этого слова, Струнникова назвать было нельзя, но и умен он был лишь настолько, чтобы, как говорится, сальных свечей не есть и стеклом не утираться.","The Village показал рендеры ограждения, которое планируется установить вокруг общественного пространства «Яма» на Хохловской площади в Москве. Согласно техзаданию, забор будет иметь минимум три метра в высоту. При этом формально его разрабатывают как «мобильную декоративную конструкцию» с тремя вариантами оформления: с баннерами ко Дню города, в стиле «стимпанк» и в виде «фитостены»."
"Глупым, в грубом значении этого слова, Струнникова назвать было нельзя, но и умен он был лишь настолько, чтобы, как говорится, сальных свечей не есть и стеклом не утираться.","Весь мир в восторге от «Чернобыля», но только не провластные СМИ. Они отчаянно критикуют сериал (особенно те, кто не продвинулся дальше первой серии). Обвинения: западная пропаганда, очернение исторической памяти, русофобия. Есть и более экзотические!"
Громадная сила - упорство тупоумия.,"Прокуратура Москвы потребовала лишить родительских прав супругов, которые пришли на несогласованную акцию протеста 27 июля с маленьким ребенком: "
Громадная сила - упорство тупоумия.,"Задержание ничего не решит, мы настаивали, чтобы с ребятами не расправлялись и не преследовали». Но надо «подавать заявки и организованного выступать»"
Громадная сила - упорство тупоумия.,"Рядом с метро «Трубная», где сегодня планируются одиночные пикеты, уже стоят автозаки. Наш корреспондент передает, что вдоль бульваров выстроили колонны машин коммунальных служб"
Громадная сила - упорство тупоумия.,"На Чистопрудном бульваре автозаки, полицейским отдали и автобусы Мосгортранса, который потребовал миллионную компенсацию от оппозиционеров из-за акции 27 июля (за то, что пассажиры не дождались автобусов). Начали онлайн по акции протеста в Москве! "
"Для того чтобы воровать с успехом, нужно обладать только проворством и жадностью. Жадность в особенности необходима, потому что за малую кражу можно попасть под суд.","Обсудили с ним в студии подробности, что произошло и как его отпустили практически сразу после жестокого задержания: "
"Для того чтобы воровать с успехом, нужно обладать только проворством и жадностью. Жадность в особенности необходима, потому что за малую кражу можно попасть под суд.","Жадность их сгубила, меня посадили, и я никак не мог получить и прочитать эти показания, которые нужны следствию, прокурору и системе. По их мнению, я должен был все выучить у следователя за три часа, продолжать надеяться на условку на апелляции по приговору и валить ребят, оговаривая и лжесвидетельствуя» "
"Для того чтобы воровать с успехом, нужно обладать только проворством и жадностью. Жадность в особенности необходима, потому что за малую кражу можно попасть под суд.","ФБК сообщил, что первый зам Шойгу Руслан Цаликов арендует в суперэлитной деревне Раздоры 2,2 гектара земли с лесом, а министр финансов Антон Силуанов арендует там же 1,3 га"
"Для того чтобы воровать с успехом, нужно обладать только проворством и жадностью. Жадность в особенности необходима, потому что за малую кражу можно попасть под суд.","ФБК опубликовал расследование, в котором рассказал, что отец подполковника ФСБ Марата Медоева, которого СМИ называют одним из заказчиков дела Голунова, сдает нежилое помещение московскому правительству и получает ежемесячно два миллиона рублей. Собянин лично написал официальное письмо, в котором дал согласие на аренду этого помещения. "
"Для того чтобы воровать с успехом, нужно обладать только проворством и жадностью. Жадность в особенности необходима, потому что за малую кражу можно попасть под суд.","ФБК нашел в центре Москвы квартиры сотрудников мэрии, руководителей некоторых департаментов и бывших и действующих федеральных чиновников. Навальный утверждает, что эти квартиры были получены от города или куплены по ценам в несколько раз ниже рыночных"
"Если на Святой Руси человек начнет удивляться, то он остолбенеет в удивлении и так до смерти столбом и простоит.","Обсудили с ним в студии подробности, что произошло и как его отпустили практически сразу после жестокого задержания"
"Если на Святой Руси человек начнет удивляться, то он остолбенеет в удивлении и так до смерти столбом и простоит.","Сестра министра культуры Владимира Мединского пожаловалась в полицию на угрозы. Татьяна Зуйкова (родная сестра Владимира) подала заявление в МВД, что у неё вымогают более трёх миллионов рублей и она боится за свою жизнь."
"Если на Святой Руси человек начнет удивляться, то он остолбенеет в удивлении и так до смерти столбом и простоит.","В Марий Эл задержанный выпал из машины полиции и пошёл по своим делам. Самый ненапряжный побег в истории – дверцу в УАЗике полицейские тупо забыли закрыть.  Пять звёзд, господа, можно без сдачи."
"Если я усну и проснусь через сто лет и меня спросят, что сейчас происходит в России, я отвечу: пьют и воруют.","«Собеседник» пишет, что работающие на митингах бойцы ОМОНа собираются пожаловаться в суд на задержки субсидий на жиль"
"Если я усну и проснусь через сто лет и меня спросят, что сейчас происходит в России, я отвечу: пьют и воруют.",Ночь в столичном районе Люблино прошла вот так: местные жители в очередной раз вышли против строительства многоэтажки на месте сквера (ничего не напоминает?)
"Идиоты вообще очень опасны, и даже не потому, что они непременно злы, а потому, что они чужды всяким соображениям и всегда идут напролом, как будто дорога, на которой они очутились, принадлежит им одним.","Мосгорсуд признал законным решение о недопуске до выборов директора ФБК Ивана Жданова. Судья даже не стала рассматривать заявления избирателей, которые были готовы подтвердить, что оставляли подпись за кандидата. Обсуждаем с сопреседателем движения «Голос», почему решение графологов оказалось важнее самих избирателей:"
"Идиоты вообще очень опасны, и даже не потому, что они непременно злы, а потому, что они чужды всяким соображениям и всегда идут напролом, как будто дорога, на которой они очутились, принадлежит им одним.","На апелляционном заседании по делу об аресте Ильи Яшина его адвокат указал на ошибки в материалах дела и пригрозил всем судьям, что они понесут ответственность за фабрикацию. В ответ на обвинения судья отметила, что судьи не ответственны за принятые ими решения "
"Идиоты вообще очень опасны, и даже не потому, что они непременно злы, а потому, что они чужды всяким соображениям и всегда идут напролом, как будто дорога, на которой они очутились, принадлежит им одним.","Мы много писали о том, как навязанный «Аэрофлоту» государством лоукостер «Победа» занимался анальным покорением пассажирских сердец и как платил толстым блогерам за то, чтобы они отмазывали его за вызывающе уёбищный сервис. Но понравилось бы начальнику авиакомпании с очень нагруженным смыслами названием, если бы его обозвали говноедом? Ну или, на крайняк, хайпожором? Что в принципе одно и то же. Или эта реклама «Победы» фейк?"
"Идиоты вообще очень опасны, и даже не потому, что они непременно злы, а потому, что они чужды всяким соображениям и всегда идут напролом, как будто дорога, на которой они очутились, принадлежит им одним.","Мы много писали о том, как навязанный «Аэрофлоту» государством лоукостер «Победа» занимался анальным покорением пассажирских сердец и как платил толстым блогерам за то, чтобы они отмазывали его за вызывающе уёбищный сервис. Но понравилось бы начальнику авиакомпании с очень нагруженным смыслами названием, если бы его обозвали говноедом? Ну или, на крайняк, хайпожором? Что в принципе одно и то же. Или эта реклама «Победы» фейк?"
"Когда и какой бюрократ не был убежден, что Россия есть пирог, к которому можно свободно подходить и закусывать?","Московские чиновники запретили Face, IC3PEAK и «Кровостоку» выступать на митинге 10 августа под угрозой отмены согласования акции"
"Когда и какой бюрократ не был убежден, что Россия есть пирог, к которому можно свободно подходить и закусывать?","ФБК выпустил расследование о вице-мэре Москвы Наталье Сергуниной, которая отвечает «за все выборы всех уровней» в столице. У Сергуниной и ее семьи нашли недвижимости на 6,5 миллиардов рублей. "
"Когда и какой бюрократ не был убежден, что Россия есть пирог, к которому можно свободно подходить и закусывать?",В Госдуме поддерживают законопроект об ограничении иностранного капитала в значимых интернет-компаниях. Поправки коснутся «Яндекса» и Mail.Ru Group
"Когда и какой бюрократ не был убежден, что Россия есть пирог, к которому можно свободно подходить и закусывать?","С конца июля этого года средний размер штрафов за участие в митингах вырос на 37%, а всего за 7 лет сумма выросла с 3 тысяч до 22. После начала протестных акций за допуск независимых кандидатов в Мосгордуму судьи стали чаще назначать штрафы по верхнему пределу"
"Когда и какой бюрократ не был убежден, что Россия есть пирог, к которому можно свободно подходить и закусывать?","«Мы не просим у вас хорошие дороги, дешевые коммунальные услуги, бесплатное образование, хорошую медицину. Просто дайте возможность законно ловить рыбу — омуля, на который нет запрета, и ряпушку, которой у нас очень много»"
"Крупными буквами печатались слова совершенно несущественные, а все существенное изображалось самым мелким шрифтом.","В долгой и грустной истории Юрия Дмитриева постоянно появляется что-то новое. Пока историка держат в СИЗО, Российское военно-историческое общество представило результаты поисковых работ в Сандармохе. Они пытаются доказать, что среди захоронений жертв репрессий есть и советские военнопленные. К этой версии в целом много вопросов, но главный — почему эта теория возникла незадолго до начала первого дела Хоттабыча и почему никто никогда не обращался к нему за консультацией. "
Многие склонны путать два понятия: «Отечество» и «Ваше превосходительство».,"В Петербурге на фасаде исторического дома Кирилловых немного изменили скульптуру — вместо головы у фигуры теперь камера видеонаблюдения. Художник, который выложил фотографии, назвал акцию «Пугало» и посвятил ее тому, как «современное общество одержимо безопасностью»"
"Нельзя сразу перевоспитать человека, как нельзя сразу вычистить платье, до которого никогда не прикасалась щетка. ","В Москве у здания МВД задержали участников одиночных пикетов в поддержку фигуранта дела о «массовых беспорядках», студента ВШЭ "
"Неправильно полагают те, кои думают, что лишь те пискари могут считаться достойными гражданами, кои, обезумев от страха, сидят в норах и дрожат. Нет, это не граждане, а по меньшей мере бесполезные пискари.","«Я написала в партию заявление об отказе, я хочу уйти из нее. Мне стыдно людям в глаза смотреть после всего, что я видела», — член «Единой России» Наталья Тельминова написала заявление о выходе из партии после того, как ее мужа задержали на митинге 3 августа: "
"Неправильно полагают те, кои думают, что лишь те пискари могут считаться достойными гражданами, кои, обезумев от страха, сидят в норах и дрожат. Нет, это не граждане, а по меньшей мере бесполезные пискари.","«Я очень долго жил в Лондоне, я знаю, что такое массовые беспорядки, я их видел. Это когда горят машины, бьются витрины, ходят непонятно чем вооруженные люди. Здесь этого не было, соответственно, Егор Жуков должен быть свободен»."
"Нет, видно, есть в божьем мире уголки, где все времена — переходные.","«Всё для радикализации и для того, чтобы мирное шествие превратилось в массовое побоище, сделала сама власть». "
"Нет, видно, есть в божьем мире уголки, где все времена — переходные.","«Если нет другого выхода защищать свое достоинство, то придется идти и под дубинки»."
"Нет, видно, есть в божьем мире уголки, где все времена — переходные.","Оксимирон пришел в Мосгорсуд, чтобы поддержать Егора Жукова и других фигурантов дела о «массовых беспорядках». Рэпер предложил залог в размере двух миллионов рублей за студента ВШЭ, но на само заседание попасть не смог — там не было свободных мест"
Ничем не ограниченное воображение создает мнимую действительность.,"Вероятно, Сергей Митрохин все-таки будет зарегистрирован кандидатом в Мосгордуму"
Ничем не ограниченное воображение создает мнимую действительность.,"Госдума обиделась на «Яндекс.Новости». Источник «Коммерсанта» говорит, что теперь «Яндекс.Новости» могут закрыть"
Ничем не ограниченное воображение создает мнимую действительность.,"""Руководство Госдумы всерьез угрожает перевести «Яндекс», чьи акции торгуются на Нью-Йоркской бирже, под контроль российских властей. Повод — история о """"фейковой"""" новости про старые автомобиле в топе «Яндекс.Новостей». Надо ли говорить, что эта новость пришла из Госдумы. "
"Ничто в такой степени не возбуждает умственную деятельность, не заставляет открывать новые стороны предметов и явлений, как сознательные симпатии или антипатии","Даже после Чернобыля Кремль не понял, почему ядерные аварии нельзя скрывать. И теперь меньше всего ему верят сами россияне — об этом говорит скупленный в аптеках йод. В мире снова разворачивается ядерная гонка, и США тоже стоит подумать о новых ракетах.  Так выглядят публикации западной прессы, посвященные взрыву в Архангельской области. Считается, что там взорвалась новейшая ракета «Буревестник» с ядерным двигателем. "
"Ничто в такой степени не возбуждает умственную деятельность, не заставляет открывать новые стороны предметов и явлений, как сознательные симпатии или антипатии","Много людей прислало Алексею Навальному ссылку на один и тот же ролик с ремонтом огромного дома. Особняк площадью 2000 квадратных метров выглядит как типичный дом с Рублевки, но, как выяснил ФБК, находится в Черкесске и принадлежит клану Каитовых.  ➤Владельцем дома (его стоимость ФБК оценил в миллиард рублей) оказался 17-летний Ансар Каитов. Его старшему брату, 19-летнему Аслану, принадлежат земли вокруг дворца."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","11 августа во время футбольного матча между «Ахматом» и «Спартаком» в Грозном судью Алексея Сухого оскорбили в микрофон — за то, что он удалил игрока «Ахмата». По окончании матча Сухого за руку схватил человек, похожий на председателя парламента Чечни Магомеда «Лорда» Даудова, и отвел его в подтрибунное помещение.  Даудов не имел права трогать арбитра, а также находиться в технической зоне, но в «Ахмате» считают, что все нормально: произошедшее назвали рукопожатием."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","Абаничева обвиняют в том, что он бросил в сторону полицейских бумажный стакан. Девушка подошла с ним к двум полицейским. Те, засмущавшись, отошли, передает Евгений Фельдман."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","Интервью «Дождя» с Павлом Грудининым:  — Как относитесь к «московскому делу»?  — Всех надо выпустить, они никого не били, ничего не грабили.  — Почему не было требований с трибуны, чтобы допустили всех на выборы?  — Меня в 2010 году тоже снимали по подписям, я судился. Сейчас протест другой, масштабный. И протестное голосование  поможет сделать выборы честными. Еще Че Гевара говорил: «Молчание — это тоже метод борьбы»."
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","То есть те, кто выходят на разгон протестных акций, сами часто страдают от нарушения их трудовых прав. Но их это, видимо, особо не парит."
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","Наблюдатель от СПЧ Николай Сванидзе на Страстном бульваре: «Всегда удобнее найти врага за рубежом. Всегда удобно говорить о людях, которые выходят защищать свои права, что это “не наши граждане”. Это удобно с 30-х годов прошлого века»"
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","В Свердловской области из-за ложного срабатывания защитной системы отключился энергоблок Белоярской АЭС. Радиационный фон в окрестностях станции в норме, утверждают в Росэнергоатоме"
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","""У Гостинного Двора в Санкт-Петербурге жестко задержали мужчину. Его задержали за то, что он подошел к полицейскому и спросил на каком основании стоит автобус. """"Вы хотите меня задержать за то, что я неправильно хожу, а себя не хотите задержать за то, что вы неправильно припарковали технику."""""
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","«Один из сотрудников полиции без маски схватил Роменского за одежду и с силой ударил его об борт служебного автобуса, сорвав с него наушники, с помощью которых последний выходил в эфир телеканала», — говорится в заявлении"
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","В объяснении полицейских, задержавших Дарью Сосновскую (у которой диагностировали закрытую черепно-мозговую травму и ушибы), говорится, что она кричала:  «Путин вор!», «Долой полицейскую власть!», «Ментам позор!»  "
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Компания, которая арендует помещение под кафе в центре Москвы, потребовала 550 тысяч рублей от организаторов акции 27 июля из-за закрытия. Теперь исков к организаторам три, а общая сумма по ним — 13 миллионов рублей "
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Активист Никита Томилов покинул Россию после того, как он попал в список гомофобного движения «Пила». По его словам, «целый ряд неслучайных событий за последнее время» убедили его, что оставаться в России небезопасно:"
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Наших сотрудников Алексея Яковлева, Полину Аркатову и сотрудника ФБК Артема Ионова полицейские и ОМОН уже четыре часа удерживают в офисе. Телефоны отнимают, но им удалось сообщить нам, что обыск подходит к концу. Про изъятие техники информации пока нет."
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Мэрия Москвы запретила реперу Фейсу, группам «Кровосток» и IC3PEAK выступать на митинге, который устраивают в эту субботу в Москве поддержку незарегистрированных кандидатов. Юрист объясняет, законно ли это."
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Французский скалолаз, известный как «Человек-паук», забрался на гонконгский небоскреб и разместил на нем флаг с символическим рукопожатием Китая и Гонконга. Так он призвал к миру и прекращению протестов"
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.",13 июля с космодрома Байконур стартовала ракета-носитель с астрофизической обсерваторией Спектр-РГ. С её помощью ученые планируют сделать «перепись населения» всей нашей Вселенной
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Власть позиционирует себя, как «единственного европейца». Как того, кому образованные люди должны быть обязаны, потому что он защищает их от дикого народа. А в это время Россия уже давно на 75% городская страна, 99% грамотны, больше половины населения имеет образование выше среднего, уровень насильственных преступлений снижается последние 15 лет. Кто кого и от кого стережет – малопонятно. Почему кто-то решил, что на первых же свободных выборах у нас выберут фашистов? Этому утверждению нет никаких рациональных обоснований. "
